,PSNR,SSIM,SAM,Loss,Time
ICVL_512_30,40.5204873865045,0.9814796845447615,0.0762454356532544,0.00011824415141745704,0.033990347385406496
ICVL_512_50,38.23923942875042,0.9708936537141101,0.09199909213930368,0.0001940702290085028,0.03540495038032532
ICVL_512_70,36.068293987187076,0.9581983392483308,0.1101615596562624,0.00031682413409725994,0.0734101414680481
ICVL_512_blind,39.098679929700616,0.9730711011959376,0.08804674479179084,0.00017414455905964132,0.03784633874893188
ICVL_512_noniid,41.27910734114485,0.9865224243797387,0.06646823454648257,0.00012261481606401503,0.042797917127609254
ICVL_512_stripe,41.002418618659675,0.9857096103964276,0.06838902500458062,0.00012588637900989852,0.03962568640708923
ICVL_512_deadline,41.07796429713862,0.9861942851567539,0.066108124749735,0.00012368233192319166,0.03670123815536499
ICVL_512_impulse,39.95822613715954,0.9804225048319729,0.07710640225559473,0.00016144323108164827,0.03522894978523254
ICVL_512_mixture,39.28392755018141,0.979462776930708,0.07855615271255374,0.0001814494240534259,0.039470779895782473
