,PSNR,SSIM,SAM,Loss,Time
ICVL_512_30,42.84380396839281,0.9902270153187759,0.0451406329870224,0.005936849932186306,0.029250448942184447
ICVL_512_50,40.65587896621724,0.9839514907512429,0.05637090802192688,0.0075438950560055675,0.028265732526779174
ICVL_512_70,38.81490661673221,0.9760806086245697,0.07940692105330527,0.00924191646045074,0.06612856984138489
ICVL_512_blind,41.66903471759633,0.9856664378619395,0.06747501238714904,0.0068105054902844134,0.028226399421691896
ICVL_512_noniid,43.727959665142386,0.9930573173462509,0.0353084709495306,0.005592418450396508,0.025671273469924927
ICVL_512_stripe,43.556309977708565,0.9928198089378177,0.036502995807677505,0.005678646091837436,0.027619647979736327
ICVL_512_deadline,43.631450274741795,0.9928544312846584,0.035785259772092105,0.005582570092519746,0.026204288005828857
ICVL_512_impulse,42.6269187533383,0.9905681964630564,0.044105018209666016,0.006377938296645879,0.025977694988250734
ICVL_512_mixture,41.17650813226663,0.9869507110227731,0.04728070213459432,0.0072209845413453875,0.025966340303421022
