,PSNR,SSIM,SAM,Loss,Time
ICVL_512_30,41.4056921881931,0.9862145713879416,0.07404112257063389,0.007097542635165155,0.04014325141906738
ICVL_512_50,39.23701481565434,0.978995526361403,0.08009401829913258,0.008970346441492439,0.03891602158546448
ICVL_512_70,37.244418622041024,0.9688614478091365,0.10385316051542759,0.011358949460554869,0.07698167562484741
ICVL_512_blind,40.28987770238139,0.9809643456470363,0.08776581529527902,0.008058078319299966,0.03635338544845581
ICVL_512_noniid,42.35072791514396,0.9902528893962413,0.04726659394800663,0.006603508442640305,0.033807379007339475
ICVL_512_stripe,42.18677512526371,0.9898074504181634,0.04873955505900085,0.006688016245607287,0.04590907692909241
ICVL_512_deadline,42.06582183862845,0.9898548843013193,0.04838076122105121,0.006810696650063619,0.04565281271934509
ICVL_512_impulse,39.45591717187203,0.9743049099182931,0.08125213878229261,0.009642230812460184,0.0415938138961792
ICVL_512_mixture,38.164996359756806,0.9742701637216447,0.0779251316562295,0.010889255604706705,0.03727172613143921
