,PSNR,SSIM,SAM,Loss,Time
ICVL_512_30,42.664151439333594,0.9898822957978558,0.05068820347078144,7.031720419945487e-05,0.039810359477996826
ICVL_512_50,40.40203239176455,0.983681166132739,0.06325745917856693,0.00011621877920333645,0.040158945322036746
ICVL_512_70,38.502527438710814,0.975879447567408,0.0745652406476438,0.0001774662845491548,0.08799600601196289
ICVL_512_blind,41.438704396683434,0.9854806269218246,0.061517501203343275,9.809686112021155e-05,0.04167907238006592
ICVL_512_noniid,43.65854490927632,0.9929178327341809,0.036024674354121086,5.424918940661882e-05,0.03690274953842163
ICVL_512_stripe,43.48722871869884,0.992717557603223,0.037236702255904676,5.573745224864979e-05,0.04004262685775757
ICVL_512_deadline,43.53343598461233,0.9927431916018502,0.036082316329702734,5.5123306083260104e-05,0.0367293119430542
ICVL_512_impulse,41.883377271447735,0.9841441790045122,0.06177927404642105,8.842963698043604e-05,0.037554866075515746
ICVL_512_mixture,40.82177612537135,0.9830456691855544,0.06081155077554286,0.00010759435581348953,0.03652612566947937
